Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Baumann,Thomas,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Schuppisser,Lyne,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sonderegger,Marion,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kaufmann,Urs,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Frey,Kathrin,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hegglin,Django,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Erni,Bettina,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gündel,Roger,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Küng,Monika,Gruene,05c,"Seit meiner Jugend politisiere ich: Angesicht von Klimakrise, Gletscherschwund  und rasanter  Veränderung der Besitzverhältnisse auf dem Planeten Erde, braucht  es das aktive politische Mitreden aller, damit Demokratie funktioniert und somit sozialer Frieden gefördert und Gewalt verhindert wird.","Die Ernährungsformen  in der Schweiz sollen einfacher werden. Neue Konsumgewohnheiten müssen gefördert werden. Weniger Transporte und weniger Verarbeitung von Nahrungsmitteln, dafür mehr Handarbeit in der Küche. Unser Überfluss darf nicht andere Menschengruppen in ihrer Existenz gefährden.","Mein Kanton soll ein grüneres, ganzheitlicheres und nachhaltigeres Gesicht bekommen.",1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Umwelt
Freiermuth,Gustav,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Rupp,Helena,Gruene,05c,"Viele Probleme in der Gesellschaft fallen auf, wenn man sie Kindern erklärt. Dass Atommüll ohne Strommnutzen nicht toll ist.  Ich bin eine Kämpferin für alle, statt für wenige und ich setze auf Zusammenarbeit statt auf Alleingänge. Ich kann gut mit Niederlagen umgehen und mich neu orientieren.","Klimaerwärmung und damit verbunden Migration, knappes Wasser, heisse Städte, starke Unwetter.   Bezahlbarer und gesunder Wohnraum. Vielfalt in der Bewohnung desselben.  Eine bezahlbare Krankenkasse, ich bin für eine Einheitskasse.  Gleichstellung aller Geschlechter im Recht und auf der Arbeit.","Ich denke nicht in Sparten wie : «Mein Kanton&quot;, ich finde viele Probleme müssen grossräumig angegangen werden. Ich möchte für die Bevölkerung des Aargaus und der anderen Kantone Rahmenbedingugen schaffen um ein lebenswertes Leben zu führen, auch langfristig in Zukunft.",0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,"Gleichstellung, Familie, Zuwanderung"
Niggli,Jeremias,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nietlispach,Brigitte,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Moos,Michael,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Züger Cáceres,Regula,Gruene,05c,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
