Name,Vorname,Partei,ListeNr,svy_q2,svy_q3,svy_q4,Patriotismus,Zuwanderung,Umwelt,Energie,Wirtschaft,Sozialwerke,Familie,Gesundheit,Gleichstellung,Landwirtschaft,Verkehr,Bildung,Schwerpunkt
Hasler,Samuel,Junge_SVP,01b,"Ich möchte etwas verändern und dabei helfen, dass wir auch weiterhin eine lebenswerte Schweiz haben. In der Politik kann man vieles bewirken, wenn man sich aktiv engagiert.",Die Schweiz schlittert aktuell von einer Krise in die nächste. Wir müssen die Asylkrise schnellstmöglich lösen und im Bereich Zuwanderung Massnahmen ergreifen. Auch in Sachen Finanzen stehen wir seit Covid sehr schlecht da. Ein riesen Schuldenberg muss abgearbeitet werden.,"Der Kanton Aargau ist zentral, wenn es um Transport und Energie geht. Wir brauchen dringend den Ausbau der A1 und eine nachhaltige Energiestrategie. Wir dürfen uns von Zürich, Bern und Basel nicht abhängen lassen.",0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Energie, Zuwanderung"
Meyer,Cedric,Junge_SVP,01b,"Ich möchte eine Art Brückenbauer sein. Der Konsens zwischen Alt und Jung wird immer weniger, es gibt eine extreme Polarisierung und wir müssen als Schweiz zusammenhalten, nicht und gegenseitig anfeinden. Und persönlich möchte ich der Schweiz etwas zurückgeben, denn ich danke,das ich hier leben darf.","Es geht darum, Menschen wieder zusammenzubringen, einen Konsens zwischen den Parteien und den Bevölkerungsschichten zu schaffen sowie die Schweiz lebenswert zu erhalten. Heutzutage werden Probleme geschaffen und wichtigere Probleme nicht gelöst. Konsens und der einzelne Bürger sollen vertreten sein!","Als nicht Ur-Aargauer (geb ich offen zu) ist mir der Kanton sehr ans Herz gewachsen. Gegenüber anderen Kantonen sind wir so die Durchfahrt von A nach B. Aber wir haben etwas, was andere Kantone nicht aufweisen: viele regionale Unterschiede. Und die Förderung von einzelnen Regionen ist essenziell!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gadient,Daniel,Junge_SVP,01b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hug,Ramon,Junge_SVP,01b,"Die Schweiz wird von linken Politikern zerstört. Die Masseneinwanderung und der daraus folgende Bevölkerungsaustausch sind die grösste Gefahr für unser Land. Wenn wir die Migration nicht stoppen, ist es bald zu spät. Ich möchte mich im Nationalrat gegen diese verfehlte Politik wehren.","Die Politik muss sich für die Sicherheit der Schweizer Bevölkerung einsetzen. Das bedeutet: konsequente Ausschaffung krimineller Ausländer ohne Härtefallklausel, Neudefinierung der Einwanderungsvoraussetzungen und systematische Überwachung von islamischen Gefährdern.","Ich stehe zum Föderalismus, das heisst, möglichst viele Freiheiten und Spielräume für die Kantone. Der Bund muss das AKW-Verbot aufheben und so die Kraftwerke im Aargau laufen lassen.",3.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zuwanderung
Abt,Lukas,Junge_SVP,01b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nyffeler,Yanik,Junge_SVP,01b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Huber,Vivienne,Junge_SVP,01b,"Ich möchte jenen ein Stimme geben, welche auch in Zukunft frei und selbstbestimmt, ohne Gender-Gaga und Masseneinwanderung leben möchten. Ich setze mich voll und ganz für eine bürgerliche Schweiz und unsere christlich-abendländische Kultur ein.","Wir stehen vor einem Richtungsentscheid: Glauben wir an die Stärken und die bewährten Werte, wie Freiheit, Unabhängigkeit, direkte Demokratie und Neutralität oder lassen wir es zu, dass Linke, Grüne sowie deren Helfer in der Mitte und der GLP die Schweiz nach sozialistischem Vorbild umbauen.","Der Aargau soll ein lebendiger Wirtschaftsstandort mit guter Infrastruktur, sicheren Arbeitsplätzen und einer starken Landwirtschaft sein. Dazu braucht es beispielsweise den Ausbau der Autobahnen sowie die Begrenzung der Einwanderung.",3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,Patriotismus
Büchler,Leonardo,Junge_SVP,01b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Furrer,Samira,Junge_SVP,01b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ghilardi,Enrico Giovanni Paolo Michel,Junge_SVP,01b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Micanovic,Aleksandar,Junge_SVP,01b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Trachsel,David,Junge_SVP,01b,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
